ZONE T="boundary0"
-5.89844 -0.5 
-1.99219 -0.5 
-1.79688 -0.5 
2.5 -0.5 
-4.14062 -0.5 
-7.26562 -0.5 
-7.07031 -0.5 
-8.63281 -0.5 
-2.38281 -0.5 
-8.04688 -0.5 
-7.85156 -0.5 
-5.50781 -0.5 
-8.4375 -0.5 
-7.65625 -0.5 
-0.625 -0.5 
-1.01562 -0.5 
-9.41406 -0.5 
-9.21875 -0.5 
-6.875 -0.5 
-6.48438 -0.5 
-6.28906 -0.5 
-1.21094 -0.5 
-3.94531 -0.5 
-3.75 -0.5 
-2.96875 -0.5 
-3.16406 -0.5 
-3.55469 -0.5 
-3.35938 -0.5 
-4.92188 -0.5 
-4.72656 -0.5 
-4.53125 -0.5 
-1.60156 -0.5 
-1.40625 -0.5 
-2.57812 -0.5 
-0.429688 -0.5 
-0.234375 -0.5 
-0.136719 -0.5 
-0.332031 -0.5 
-0.0390625 -0.5 
0.15625 -0.5 
0.351562 -0.5 
0.546875 -0.5 
0.9375 -0.5 
0.742188 -0.5 
-9.60938 -0.5 
-9.80469 -0.5 
-5.70312 -0.5 
-5.3125 -0.5 
-7.46094 -0.5 
-9.02344 -0.5 
-8.82812 -0.5 
-8.24219 -0.5 
-2.77344 -0.5 
-5.11719 -0.5 
-10 -0.5 
-6.09375 -0.5 
-6.67969 -0.5 
-2.1875 -0.5 
1.32812 -0.5 
1.71875 -0.5 
1.52344 -0.5 
2.10938 -0.5 
1.91406 -0.5 
2.30469 -0.5 
2.78125 -0.5 
3.0625 -0.5 
3.625 -0.5 
3.34375 -0.5 
4.1875 -0.5 
3.90625 -0.5 
4.46875 -0.5 
4.75 -0.5 
5.03125 -0.5 
5.3125 -0.5 
5.59375 -0.5 
5.875 -0.5 
6.4375 -0.5 
6.15625 -0.5 
6.71875 -0.5 
7 -0.5 
8 -0.5 
8.25 -0.5 
8.5 -0.5 
9 -0.5 
8.75 -0.5 
9.25 -0.5 
9.5 -0.5 
9.75 -0.5 
10 -0.5 
10.25 -0.5 
11 -0.5 
10.75 -0.5 
10.5 -0.5 
11.5 -0.5 
11.25 -0.5 
11.75 -0.5 
12 -0.5 
12.25 -0.5 
13 -0.5 
12.5 -0.5 
13.25 -0.5 
7.5 -0.5 
7.25 -0.5 
7.75 -0.5 
12.75 -0.5 
13.5 -0.5 
13.75 -0.5 
14 -0.5 
14.5 -0.5 
14.25 -0.5 
14.75 -0.5 
15 -0.5 
-1.89453 -0.5 
-7.16797 -0.5 
-7.94922 -0.5 
-8.53516 -0.5 
-7.75391 -0.5 
-0.820312 -0.5 
-9.31641 -0.5 
-6.38672 -0.5 
-1.11328 -0.5 
-6.97266 -0.5 
-3.84766 -0.5 
-3.06641 -0.5 
-3.45703 -0.5 
-4.62891 -0.5 
-1.50391 -0.5 
-2.48047 -0.5 
-0.527344 -0.5 
-0.185547 -0.5 
-0.380859 -0.5 
-0.0878906 -0.5 
0.0585938 -0.5 
-0.283203 -0.5 
0.449219 -0.5 
0.253906 -0.5 
0.839844 -0.5 
-9.70703 -0.5 
-4.04297 -0.5 
-7.36328 -0.5 
-8.92578 -0.5 
-3.65234 -0.5 
-8.14453 -0.5 
-2.67578 -0.5 
-4.82422 -0.5 
-1.30859 -0.5 
-1.69922 -0.5 
-9.90234 -0.5 
-4.33594 -0.5 
-5.99609 -0.5 
-5.60547 -0.5 
-7.55859 -0.5 
-6.58203 -0.5 
-8.73047 -0.5 
-2.87109 -0.5 
-5.21484 -0.5 
-5.80078 -0.5 
-5.41016 -0.5 
-3.26172 -0.5 
-2.28516 -0.5 
-2.08984 -0.5 
-9.51172 -0.5 
-6.19141 -0.5 
-6.77734 -0.5 
-9.12109 -0.5 
-5.01953 -0.5 
-8.33984 -0.5 
1.62109 -0.5 
0.644531 -0.5 
1.13281 -0.5 
1.42578 -0.5 
2.01172 -0.5 
2.40234 -0.5 
1.81641 -0.5 
2.20703 -0.5 
2.92188 -0.5 
2.64062 -0.5 
3.48438 -0.5 
3.20312 -0.5 
4.04688 -0.5 
3.76562 -0.5 
4.32812 -0.5 
4.89062 -0.5 
4.60938 -0.5 
5.17188 -0.5 
5.73438 -0.5 
5.45312 -0.5 
6.29688 -0.5 
6.57812 -0.5 
6.85938 -0.5 
8.125 -0.5 
8.875 -0.5 
9.375 -0.5 
9.125 -0.5 
9.875 -0.5 
9.625 -0.5 
10.625 -0.5 
10.875 -0.5 
11.375 -0.5 
11.875 -0.5 
11.125 -0.5 
11.625 -0.5 
12.375 -0.5 
12.125 -0.5 
13.125 -0.5 
6.01562 -0.5 
7.375 -0.5 
7.125 -0.5 
7.625 -0.5 
7.875 -0.5 
8.625 -0.5 
8.375 -0.5 
10.375 -0.5 
12.875 -0.5 
12.625 -0.5 
13.375 -0.5 
10.125 -0.5 
13.875 -0.5 
13.625 -0.5 
14.375 -0.5 
14.125 -0.5 
14.875 -0.5 
14.625 -0.5 
ZONE T="boundary1"
15 -0.25 
15 -0.5 
15 0 
15 0.25 
15 0.5 
15 -0.375 
15 -0.125 
15 0.375 
15 0.125 
ZONE T="boundary2"
-9.80469 0.5 
-9.60938 0.5 
-1.79688 0.5 
-0.820312 0.5 
-0.625 0.5 
-6.09375 0.5 
-6.875 0.5 
-6.67969 0.5 
-8.24219 0.5 
-8.4375 0.5 
-3.16406 0.5 
-3.35938 0.5 
-7.07031 0.5 
-7.26562 0.5 
-5.3125 0.5 
-5.11719 0.5 
-8.04688 0.5 
-7.46094 0.5 
-7.65625 0.5 
-5.89844 0.5 
-4.72656 0.5 
-4.53125 0.5 
-3.75 0.5 
-3.55469 0.5 
-9.02344 0.5 
-9.21875 0.5 
-1.99219 0.5 
-2.1875 0.5 
-8.82812 0.5 
-4.33594 0.5 
-3.94531 0.5 
-2.57812 0.5 
-1.01562 0.5 
-2.77344 0.5 
-2.96875 0.5 
0.15625 0.5 
-0.234375 0.5 
-0.0390625 0.5 
-0.429688 0.5 
-0.136719 0.5 
0.351562 0.5 
-1.21094 0.5 
0.546875 0.5 
0.9375 0.5 
-6.48438 0.5 
-4.92188 0.5 
-8.63281 0.5 
-7.85156 0.5 
-4.14062 0.5 
-1.40625 0.5 
-9.41406 0.5 
-10 0.5 
-6.28906 0.5 
-5.70312 0.5 
-1.60156 0.5 
-5.50781 0.5 
-2.38281 0.5 
1.13281 0.5 
1.32812 0.5 
8.94531 0.5 
8.75 0.5 
5.625 0.5 
5.82031 0.5 
3.86719 0.5 
2.89062 0.5 
2.69531 0.5 
2.5 0.5 
2.10938 0.5 
1.71875 0.5 
1.91406 0.5 
3.08594 0.5 
3.28125 0.5 
3.67188 0.5 
4.0625 0.5 
4.25781 0.5 
4.84375 0.5 
4.45312 0.5 
5.03906 0.5 
5.23438 0.5 
5.42969 0.5 
6.40625 0.5 
6.60156 0.5 
6.01562 0.5 
6.21094 0.5 
6.79688 0.5 
7.96875 0.5 
6.99219 0.5 
8.35938 0.5 
8.55469 0.5 
7.1875 0.5 
7.38281 0.5 
7.57812 0.5 
7.77344 0.5 
8.16406 0.5 
10.3125 0.5 
9.14062 0.5 
9.33594 0.5 
9.53125 0.5 
9.92188 0.5 
10.1172 0.5 
9.72656 0.5 
10.5078 0.5 
10.7031 0.5 
10.8984 0.5 
12.2656 0.5 
11.0938 0.5 
11.2891 0.5 
11.875 0.5 
11.4844 0.5 
11.6797 0.5 
12.6562 0.5 
12.0703 0.5 
13.0469 0.5 
12.4609 0.5 
12.8516 0.5 
13.2422 0.5 
14.2188 0.5 
13.4375 0.5 
14.4141 0.5 
13.8281 0.5 
14.6094 0.5 
15 0.5 
14.8047 0.5 
-0.722656 0.5 
-6.77734 0.5 
-8.33984 0.5 
-3.26172 0.5 
-7.16797 0.5 
-5.21484 0.5 
-7.55859 0.5 
-5.99609 0.5 
-4.62891 0.5 
-3.65234 0.5 
-9.12109 0.5 
-2.08984 0.5 
-2.87109 0.5 
-0.332031 0.5 
-0.185547 0.5 
0.0585938 0.5 
-0.0878906 0.5 
-0.917969 0.5 
0.253906 0.5 
-0.527344 0.5 
0.449219 0.5 
0.742188 0.5 
-6.58203 0.5 
-5.01953 0.5 
-8.53516 0.5 
-7.94922 0.5 
-9.51172 0.5 
-9.90234 0.5 
-6.38672 0.5 
-3.45703 0.5 
-4.82422 0.5 
-6.97266 0.5 
-5.80078 0.5 
-8.73047 0.5 
-3.84766 0.5 
-1.50391 0.5 
-1.30859 0.5 
-1.69922 0.5 
-1.11328 0.5 
-9.31641 0.5 
-9.70703 0.5 
-4.04297 0.5 
-3.06641 0.5 
-7.75391 0.5 
-5.60547 0.5 
-4.23828 0.5 
-6.19141 0.5 
-4.43359 0.5 
-1.89453 0.5 
-2.28516 0.5 
-2.48047 0.5 
-5.41016 0.5 
-7.36328 0.5 
-8.14453 0.5 
-8.92578 0.5 
-2.67578 0.5 
1.03516 0.5 
1.23047 0.5 
8.84766 0.5 
5.72266 0.5 
2.79297 0.5 
2.59766 0.5 
1.81641 0.5 
2.30469 0.5 
2.01172 0.5 
1.52344 0.5 
2.98828 0.5 
3.18359 0.5 
3.76953 0.5 
3.47656 0.5 
4.16016 0.5 
4.64844 0.5 
3.96484 0.5 
4.35547 0.5 
4.94141 0.5 
5.13672 0.5 
5.33203 0.5 
5.52734 0.5 
6.50391 0.5 
5.91797 0.5 
6.11328 0.5 
6.30859 0.5 
6.69922 0.5 
6.89453 0.5 
8.45703 0.5 
7.08984 0.5 
7.28516 0.5 
7.67578 0.5 
7.48047 0.5 
7.87109 0.5 
8.06641 0.5 
8.26172 0.5 
8.65234 0.5 
9.23828 0.5 
9.04297 0.5 
9.43359 0.5 
10.0195 0.5 
9.62891 0.5 
9.82422 0.5 
10.2148 0.5 
10.4102 0.5 
10.6055 0.5 
10.8008 0.5 
10.9961 0.5 
11.1914 0.5 
11.3867 0.5 
11.582 0.5 
11.7773 0.5 
11.9727 0.5 
12.5586 0.5 
12.168 0.5 
12.3633 0.5 
12.7539 0.5 
12.9492 0.5 
13.1445 0.5 
13.3398 0.5 
14.3164 0.5 
14.5117 0.5 
